Title,Location,Price,Area
                        Apartment Hillegomstraat 32 2                            ,            1058 LT Amsterdam (Hoofddorppleinbuurt)        ,"                €2,800 per month            ",85 m²
                        Apartment Bosboom Toussaintstraat                            ,            1054 AT Amsterdam (Helmersbuurt)        ,"                €4,500 per month            ",155 m²
                        Apartment Hekelveld                            ,            1012 SN Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €1,850 per month            ",62 m²
                        Apartment Eerste Van der Helststraat 1 A14                            ,            1073 AA Amsterdam (Oude Pijp)        ,"                €1,950 per month            ",75 m²
                        Studio Ridderspoorweg                            ,            1032 LL Amsterdam (Noordelijke IJ-oevers West)        ,"                €1,550 per month            ",40 m²
                        Studio Maassluisstraat 256 A                            ,            1062 GL Amsterdam (Westlandgracht)        ,"                €1,400 per month            ",42 m²
                        Apartment Rapenburgerstraat 73 E4                            ,            1011 VK Amsterdam (Nieuwmarkt/Lastage)        ,"                €2,200 per month            ",75 m²
                        Apartment Kastelenstraat 255 1                            ,            1082 EG Amsterdam (Buitenveldert-West)        ,"                €1,800 per month            ",75 m²
                        Apartment Kleiburg 808                            ,"            1104 EA Amsterdam (Bijlmer Oost (E,G,K))        ","                €1,550 per month            ",70 m²
                        Apartment Govert Flinckstraat 316 D                            ,            1073 CJ Amsterdam (Oude Pijp)        ,"                €3,500 per month            ",170 m²
                        Apartment Haparandaweg                            ,            1013 BD Amsterdam (Houthavens)        ,"                €1,488 per month            ",49 m²
                        Apartment Bestevâerstraat                            ,            1056 HH Amsterdam (Geuzenbuurt)        ,"                €2,750 per month            ",97 m²
                        Apartment Gustav Mahlerlaan 240                            ,            1082 ME Amsterdam (Zuidas)        ,"                €3,500 per month            ",117 m²
                        Apartment Osdorpplein                            ,            1068 TD Amsterdam (Osdorp-Oost)        ,"                €1,900 per month            ",73 m²
                        House Tolstraat                            ,            1073 SC Amsterdam (Zuid Pijp)        ,"                €2,500 per month            ",82 m²
                        Apartment Van Leijenberghlaan 151                            ,            1082 GD Amsterdam (Buitenveldert-Oost)        ,"                €2,100 per month            ",128 m²
                        Apartment Hoofdweg                            ,            1056 CR Amsterdam (Van Galenbuurt)        ,"                €2,500 per month            ",83 m²
                        Apartment Amazonenstraat                            ,            1076 LL Amsterdam (Stadionbuurt)        ,"                €2,475 per month            ",78 m²
                        Apartment Paramariboplein 2 2                            ,            1058 AS Amsterdam (Westindische Buurt)        ,"                €2,800 per month            ",97 m²
                        House Madurastraat                            ,            1094 GE Amsterdam (Indische Buurt West)        ,"                €2,595 per month            ",95 m²
                        Apartment Holendrechtstraat                            ,            1078 TV Amsterdam (IJselbuurt)        ,"                €1,850 per month            ",70 m²
                        House Kantershof 27                            ,"            1104 GB Amsterdam (Bijlmer Oost (E,G,K))        ","                €1,450 per month            ",93 m²
                        Studio Krommertstraat                            ,            1056 TS Amsterdam (Geuzenbuurt)        ,"                €1,150 per month            ",25 m²
                        Apartment John Blankensteinstraat                            ,            1095 MB Amsterdam (Zeeburgereiland/Nieuwe Diep)        ,"                €1,500 per month            ",50 m²
                        Apartment Herenstraat 4 C                            ,            1015 CA Amsterdam (Grachtengordel-West)        ,"                €1,950 per month            ",55 m²
                        Apartment Tweede Jacob van Campenstraat 94 HS-L                            ,            1073 XW Amsterdam (Oude Pijp)        ,"                €1,750 per month            ",42 m²
                        Apartment Eerste Helmersstraat 121 1                            ,            1054 DN Amsterdam (Helmersbuurt)        ,"                €2,250 per month            ",80 m²
                        Apartment Buiksloterweg 35 A                            ,            1031 CD Amsterdam (Volewijck)        ,"                €2,650 per month            ",110 m²
                        Apartment Marco Polostraat                            ,            1057 WR Amsterdam (Hoofdweg e.o.)        ,"                €1,850 per month            ",55 m²
                        Apartment Rustenburgerstraat 145                            ,            1073 EX Amsterdam (Nieuwe Pijp)        ,"                €2,450 per month            ",87 m²
                        Apartment Frederiksplein 24 3                            ,            1017 XM Amsterdam (De Weteringschans)        ,"                €2,450 per month            ",95 m²
                        Apartment Karel du Jardinstraat 45 1                            ,            1072 SG Amsterdam (Nieuwe Pijp)        ,"                €2,100 per month            ",60 m²
